"prob";"ind";"l_rate";"temperature";"correct";"sampling";"n_flowers"
0.3;3;0.1;0.05;0.837905236907731;0.162094763092269;12
0.3;3;0.1;0.1;0.730673316708229;0.269326683291771;12
0.3;3;0.2;0.0125;0.992518703241895;0.00748129675810472;4
0.3;3;0.2;0.025;0.880299251870324;0.119700748129676;12
0.3;3;0.2;0.05;0.902743142144638;0.0972568578553616;12
0.3;3;0.2;0.1;0.658354114713217;0.341645885286783;12
0.3;3;0.3;0.0125;0.900249376558603;0.0997506234413965;12
0.3;3;0.3;0.025;0.822942643391521;0.177057356608479;12
0.3;3;0.3;0.05;0.680798004987531;0.319201995012469;12
0.3;3;0.3;0.1;0.625935162094763;0.374064837905237;12
0.3;3;0.4;0.0125;0.740648379052369;0.259351620947631;12
0.3;3;0.4;0.025;0.551122194513716;0.448877805486284;12
0.3;3;0.4;0.05;0.483790523690773;0.516209476309227;12
0.3;3;0.4;0.1;0.463840399002494;0.536159600997506;12
0.3;3;0.5;0.0125;0.680798004987531;0.319201995012469;12
0.3;3;0.5;0.025;0.458852867830424;0.541147132169576;12
0.3;3;0.5;0.05;0.600997506234414;0.399002493765586;12
0.3;3;0.5;0.1;0.43142144638404;0.56857855361596;12
0.3;4;0.05;0.0125;1;0;1
0.3;4;0.05;0.025;0.997506234413965;0.00249376558603487;2
0.3;4;0.05;0.05;0.965087281795511;0.0349127182044888;8
0.3;4;0.05;0.1;0.645885286783042;0.354114713216958;12
0.3;4;0.1;0.0125;1;0;1
0.3;4;0.1;0.025;0.987531172069825;0.0124688279301746;6
0.3;4;0.1;0.05;0.967581047381546;0.0324189526184538;9
0.3;4;0.1;0.1;0.663341645885287;0.336658354114713;12
0.3;4;0.2;0.0125;0.965087281795511;0.0349127182044888;7
0.3;4;0.2;0.025;0.957605985037406;0.0423940149625935;11
0.3;4;0.2;0.05;0.793017456359102;0.206982543640898;12
0.3;4;0.2;0.1;0.541147132169576;0.458852867830424;12
0.3;4;0.3;0.0125;0.975062344139651;0.0249376558603491;9
0.3;4;0.3;0.025;0.695760598503741;0.304239401496259;12
0.3;4;0.3;0.05;0.71072319201995;0.28927680798005;12
0.3;4;0.3;0.1;0.608478802992519;0.391521197007481;12
0.3;4;0.4;0.0125;0.825436408977556;0.174563591022444;12
0.3;4;0.4;0.025;0.628428927680798;0.371571072319202;12
0.3;4;0.4;0.05;0.57356608478803;0.42643391521197;12
0.3;4;0.4;0.1;0.369077306733167;0.630922693266833;12
0.3;4;0.5;0.0125;0.718204488778055;0.281795511221945;12
0.3;4;0.5;0.025;0.556109725685786;0.443890274314214;12
